
 Lista de Imýveis da Caixa;;Data de geraýýo:;27/08/2026;;;;;;;
 Ný do imývel;UF;Cidade;Bairro;Endereýo;Preýo;Valor de avaliaýýo;Desconto;Financiamento;Descriýýo;Modalidade de venda;Link de acesso

 1444406719252 ;PR ;ANDIRA ;SAO GABRIEL ;RUA A, N. SN, QD 01 LT 11 ;59.006,24;144.400,00;59.14;Nýo;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 449.32 de ýrea do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406719252
 8787712923539 ;PR ;APUCARANA ;CJ HAB SOLO SAGRADO ; R CAIO AUGUSTO PEZARINI SALINET, N. 18, QD NR04 ;79.915,69;140.000,00;42.92;Nýo;Casa, 42.37 de ýrea total, 42.37 de ýrea privativa, 199.11 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712923539
 10285154 ;PR ;APUCARANA ;CENTRO ;RUA PONTA GROSSA/ FAZENDA SANTA ELISA, N. SN, GLEBA TRES BOCAS , ESTRADA DO XAXIM ;1.473.470,66;2.312.000,00;36.27;Nýo;Imývel rural, 0.00 de ýrea total, 558.00 de ýrea privativa, 217463.00 de ýrea do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10285154
 8787717762460 ;PR ;ARAPONGAS ;LOTEAMENTO VIVER BEM ARAPONGAS 2 ;RUA PAPA TAOCA DO SUL, N. 0131, LT 32 QD 06 ;95.704,02;170.000,00;43.71;Sim;Casa, 43.85 de ýrea total, 43.85 de ýrea privativa, 160.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717762460
 8787700787910 ;PR ;ARAPONGAS ;VILA SAMPAIO ;RUA IRATAUA, N. 38, Apto 402, VAGA 402A, BL A, ;69.934,44;122.000,00;42.68;Nýo;Apartamento, 52.21 de ýrea total, 44.95 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700787910
 8787716935124 ;PR ;ARAPONGAS ;LOTEAMENTO BEM VIVER ARAPONGAS ;RUA CURIANGO COMUM, N. 4208, LT 15, QD 19 ;71.654,14;125.000,00;42.68;Nýo;Casa, 43.85 de ýrea total, 43.85 de ýrea privativa, 160.00 de ýrea do terreno,  2 qto(s).;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716935124
 8787714245406 ;PR ;ARAPONGAS ;LOTEAMENTO BEM VIVER ARAPONGAS ;RUA CHOCA DE COROA PRETA, N. 149, LT 54 QD 12 ;100.741,08;170.000,00;40.75;Nýo;Casa, 43.85 de ýrea total, 43.85 de ýrea privativa, 160.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714245406
 8787720328776 ;PR ;ARAPONGAS ;LOTEAMENTO VIVER BEM ARAPONGAS 2 ;RUA MACARICO GRANDE DE PERNA AMARELA, N. 262, LT 32 QD 16 ;97.253,89;164.115,39;40.75;Nýo;Casa, 43.85 de ýrea total, 43.85 de ýrea privativa, 160.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720328776
 8787720350240 ;PR ;ARAPONGAS ;LOTEAMENTO VIVER BEM ARAPONGAS 2 ;RUA DANCARINO PERERECA, N. 239, QD 15, LT 20 ;98.963,30;167.000,00;40.75;Nýo;Casa, 43.85 de ýrea total, 43.85 de ýrea privativa, 160.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720350240
 8787720696406 ;PR ;ARAPONGAS ;LOTEAMENTO VIVER BEM ARAPONGAS 2 ;RUA MACARICO GRANDE DE PERNA AMARELA, N. 311, LT 11, QD 17 ;98.963,30;167.000,00;40.75;Nýo;Casa, 43.85 de ýrea total, 43.85 de ýrea privativa, 160.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720696406
 8787721193696 ;PR ;ARAPONGAS ;LOTEAMENTO VIVER BEM ARAPONGAS 2 ;RUA MACARICO GRANDE DE PERNA AMARELA, N. 86, Ný 28 QUADRA 25 ;95.812,39;161.682,86;40.75;Nýo;Casa, 43.85 de ýrea total, 43.85 de ýrea privativa, 160.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787721193696
