
 Lista de Imýveis da Caixa;;Data de geraýýo:;27/08/2026;;;;;;;
 Ný do imývel;UF;Cidade;Bairro;Endereýo;Preýo;Valor de avaliaýýo;Desconto;Financiamento;Descriýýo;Modalidade de venda;Link de acesso

 8787710694770 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 2047, BL 20 ;111.212,08;184.000,00;39.56;Nýo;Apartamento, 45.82 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710694770
 8787702847805 ;PR ;CAMPO LARGO ;CAMPO DO MEIO ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 302, BL 02, VAGA Ný 218 ;126.322,42;209.000,00;39.56;Nýo;Apartamento, 56.90 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702847805
 8787703202964 ;PR ;CAMPO LARGO ;CAMPO DO MEIO ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 204, BL 05 VG 146 ;113.097,02;187.118,62;39.56;Nýo;Apartamento, 46.27 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703202964
 8787703574993 ;PR ;CAMPO LARGO ;CAMPO DO MEIO ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 104, BL01 VG 06 ;132.970,97;220.000,00;39.56;Nýo;Apartamento, 50.13 de ýrea total, 43.61 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703574993
 8787703961342 ;PR ;CAMPO LARGO ;CAMPO DO MEIO ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 208, BL 15 ;126.926,84;210.000,00;39.56;Nýo;Apartamento, 46.27 de ýrea total, 52.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703961342
 8787709676569 ;PR ;CAMPO LARGO ;ITAQUI ;RODOVIA DOS EXPEDICIONARIOS, N. SN, Apto 1232, BL 12 ;124.206,97;205.500,00;39.56;Nýo;Apartamento, 45.82 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709676569
 8787717151836 ;PR ;CAMPO LARGO ;LAGOA ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 406, BL 02 VAGA 77 ;114.838,57;190.000,00;39.56;Nýo;Apartamento, 45.66 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717151836
 8787715643120 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 305, BL10 VG 381 ;162.260,69;265.000,00;38.77;Sim;Apartamento, 46.02 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715643120
 8787715736152 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 404, BL 02 VG 75 ;162.260,69;265.000,00;38.77;Sim;Apartamento, 46.02 de ýrea total, 52.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715736152
 8787715985985 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 304, TIPO 15 PV 03 BL 15 VG 412 ;145.103,22;236.978,86;38.77;Nýo;Apartamento, 46.02 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715985985
 8787716933091 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 202, BL 04 ;156.749,95;256.000,00;38.77;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716933091
 8787701955078 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. SN, Apto 102, BL 35 ;119.590,43;190.000,00;37.06;Nýo;Apartamento, 0.00 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701955078
 8787716320006 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 403, BLOCO 10 ;139.345,05;220.000,00;36.67;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716320006
 10284141 ;PR ;CAMPO LARGO ;MORADIAS BOM JESUS ;RUA JOýO TIGRINHO DE FREITAS/ ANTIGA UA 16, N. CS 16, CASA ;2.421.794,34;3.800.000,00;36.27;Nýo;Casa, 0.00 de ýrea total, 547.75 de ýrea privativa, 1468.00 de ýrea do terreno,  5 qto(s), varanda, a.serv, WC, WC Emp, 2 sala(s), 1 lavabo(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10284141
 8787719047270 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 406, BLOCO 22, VAGA 804 ;150.428,67;220.000,00;31.63;Nýo;Apartamento, 45.66 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719047270
 8787715790661 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 405, BLOCO 23, VAGA 739 ;144.042,05;208.000,00;30.75;Nýo;Apartamento, 0.00 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715790661
 8787716496287 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 108, BLOCO 20, VAGA 683 ;146.457,68;197.000,00;25.66;Nýo;Apartamento, 46.06 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716496287
 8787715828146 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 205, BLOCO 12, VG 310 ;149.201,74;197.000,00;24.27;Nýo;Apartamento, 46.02 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715828146
 8787716661008 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 108, BLOCO 23, TýRREO, VG 783 ;161.185,11;195.700,00;17.64;Nýo;Apartamento, 46.04 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716661008
 8787716331628 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 408, BLOCO 1, VAGA 28 ;163.744,96;197.000,00;16.89;Nýo;Apartamento, 46.02 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716331628
 8787715828537 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 206, BLOCO 23, VAGA 724 ;179.752,45;208.000,00;13.59;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715828537
 8787717257618 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 407, BLOCO 25, VAGA 708 ;173.974,48;198.000,00;12.14;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717257618
 8787714424378 ;PR ;CAMPO LARGO ;BOTIATUVA ;RUA MANOEL LOPES VIEIRA, N. 143, Apto 203, BL 2 - VAGA 356 ;159.637,23;175.000,00;8.78;Nýo;Apartamento, 46.12 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714424378
 8787718141532 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 406, BLOCO 04, VG 144 ;174.371,93;188.000,00;7.25;Nýo;Apartamento, 45.67 de ýrea total, 0.40 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718141532
 8787717445759 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 207, BLOCO 05, VG 161 ;176.945,96;190.000,00;6.88;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717445759
 8787714516698 ;PR ;CAMPO LARGO ;BOTIATUVA ;RUA MANOEL LOPES VIEIRA, N. 143, Apto 301, BLOCO 01 - VAGA 17 ;159.470,04;170.000,00;6.20;Nýo;Apartamento, 46.43 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714516698
 8787706211182 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 407, BLOCO 02 - VAGA 233 ;170.905,35;180.000,00;5.06;Nýo;Apartamento, 45.92 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706211182
 1787700210100 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 402, BLOCO 24 VG 750 ;170.000,00;170.000,00;0.00;Nýo;Apartamento, 46.27 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700210100
 8787703207141 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 306, BL 28 VG 1057 ;185.000,00;185.000,00;0.00;Nýo;Apartamento, 45.91 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703207141
 8787703728761 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 401, BL 06 VG 288 ;186.000,00;186.000,00;0.00;Nýo;Apartamento, 46.27 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703728761
 8787704017915 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 304, BL 06 VAGA 283 ;190.000,00;190.000,00;0.00;Nýo;Apartamento, 46.27 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704017915
 8787716326640 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 205, 2ý PAVIMENTO BLOCO 13 VAGA 286 ;208.000,00;208.000,00;0.00;Nýo;Apartamento, 46.01 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716326640
 8787716815803 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto AP 10, BL 25 ;220.000,00;220.000,00;0.00;Nýo;Apartamento, 46.05 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716815803
 8787714085565 ;PR ;CAMPO LARGO ;BOTIATUVA ;RUA MANOEL LOPES VIEIRA, N. 143, Apto 207, TIPO I PAV 01 BL 06 VG 94 ;190.000,00;190.000,00;0.00;Nýo;Apartamento, 46.12 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714085565
 8787714144022 ;PR ;CAMPO LARGO ;BOTIATUVA ;RUA MANOEL LOPES VIEIRA, N. 143, Apto 301, BL 08 VAGA 133 ;198.868,00;198.868,00;0.00;Nýo;Apartamento, 47.71 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714144022
 8787716993450 ;PR ;CAMPO LARGO ;BOTIATUVA ;RUA MANOEL LOPES VIEIRA, N. 143, Apto 204, TIPO G PAV 01 BL 04 VG 317 ;203.000,00;203.000,00;0.00;Nýo;Apartamento, 46.45 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716993450
 8787704503240 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 2516, BL 25 VAGA 848 ;187.000,00;187.000,00;0.00;Nýo;Apartamento, 0.00 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704503240
 8787704894258 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 1414, BL14 ;185.000,00;185.000,00;0.00;Nýo;Apartamento, 0.00 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704894258
 8787704989380 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 1612, TIPO 03  BLOCO 16  VAGA 160 ;195.000,00;195.000,00;0.00;Nýo;Apartamento, 58.37 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704989380
 8787705246837 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 1113, TIPO 3 VG 350 ;183.000,00;183.000,00;0.00;Nýo;Apartamento, 45.87 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705246837
 8787705518853 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 2845, 4ý PAVIMENTO BLOCO 28 VAGA 826 ;174.003,56;174.000,00;0.00;Nýo;Apartamento, 46.17 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705518853
 8787718488990 ;PR ;CAMPO LARGO ;SALGADINHO ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 407, 4ý PAVIMENTO BLOCO 03  VAGA 112 ;220.000,00;220.000,00;0.00;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718488990
 8444409706206 ;PR ;CAMPO LARGO ;JARDIM CEU AZUL ;R AMERICO ZANLORENZI, N. 89, UNIDADE 08 ;246.000,00;246.000,00;0.00;Nýo;Casa, 0.00 de ýrea total, 56.48 de ýrea privativa, 90.69 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409706206
 8787716261387 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 405, 4ý PAVIMENTO BLOCO 05 VAGA 175 ;204.017,66;200.000,00;0.00;Nýo;Apartamento, 0.00 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716261387
 8787715604728 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 203, TP 7 PAV 2 BL 03 VG 91 ;205.372,69;200.000,00;0.00;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715604728
 8787716012891 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 102, PAVIMENTO TýRREO BLCO 04 VAGA 115 ;204.226,09;198.000,00;0.00;Nýo;Apartamento, 45.67 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716012891
 8787704950425 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 2015, TERREO BL 20 VG 660 ;175.920,56;170.000,00;0.00;Nýo;Apartamento, 50.72 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704950425
 1787700180341 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 108, PAVIMENTO TýRREO BLOCO 08 VAGA 24 ;172.079,97;165.000,00;0.00;Nýo;Apartamento, 50.13 de ýrea total, 43.61 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700180341
 8787706112346 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 1822, BL 18 ;173.173,30;165.000,00;0.00;Nýo;Apartamento, 45.82 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706112346
 8787701858951 ;PR ;CAMPO LARGO ;JARDIM ITAQUI ;RUA MARIA JOAQUINA VAZ, N. 721, Apto 302, BL 24 VAGA GARAGEM 746 ;153.890,28;146.000,00;0.00;Nýo;Apartamento, 46.27 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701858951
 8787705909771 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 1746, BL 17 VAGA 531 ;173.981,52;165.000,00;0.00;Nýo;Apartamento, 45.82 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705909771
 8787715824140 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 204, 2ý PAVIMENTO BLOCO 17 VAGA 634 ;202.894,20;190.000,00;0.00;Nýo;Apartamento, 46.02 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715824140
 8787716320120 ;PR ;CAMPO LARGO ;OURO VERDE ;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 201, 2ý PAVIMENTO BLOCO 10 VAGA 369 ;204.008,28;191.000,00;0.00;Nýo;Apartamento, 46.02 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716320120
 8787705407920 ;PR ;CAMPO LARGO ;BOM JESUS ;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 117, BL 01. VAGA 07 ;176.347,30;165.000,00;0.00;Nýo;Apartamento, 45.87 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705407920
